E yu mbena ka'. E fúú efa rkwe aèmboè e m laèa naè. Vúè neè yá mbe dïì' ce yi gúèú yi mú noêñ.	He is not here, for he has risen, just like he said. Come, see the place where the Lord was lying.
AÈ m ba aè nfeè' yïì Saâmwáèl, woweèe a laa ená Nyúè fa woweèe ñkúú, Nyúè aè fa woweèe Sol ce e m ba muu Kïîsh, ce e m ba ñwáè embe ntáè' yïì Bánjamáèn. E m sa' kúú aè bfeè' mñkyeèe.	Afterward they asked for a king, and God gave to them Saul the son of Kish, a man of the tribe of Benjamin, for forty years.
Wèe tʉr à rkèʼni yee tu.	You have to take care of yourselves.
a seesi aèmboè a be geèe ka' koo Jisoès aè bfee, yú.	They took counsel together that they might take Jesus by deceit, and kill him.
M ̀ be fʉ dù ntaa.	I will go to market tomorrow.
Jisòs e ke gèe bèe a ce rlùŋ e.	Jesus saves people.
Woweèe a m suè' ye neè mcáp seê.	They spoke many other things against him, insulting him.
Máè yoèñshi weèe njobeè' weèe ce kuushi buu ce máè m yá'ni weèe, a ker ce geèe buu anaè yáánïì seê.	Now I praise you, brothers, that you remember me in all things, and hold firm the traditions, even as I delivered them to you.
E yu aèfa seè'ni na wa'a, beèe ce a yu btu neè ñgaâa tañshi tañshïì a banïì fa ye ñger wáá ená e vú koo beèe ce a ce loo neè wáè, kur du aègho, fa mbe shañ.”	"Here he has authority from the chief priests to bind all who call on your name."""
Ku' beèe a vúê, a sir ye a tarte, e niñ mbe keñ a cu mbo, beèe anaè a táá nje waâa túè.	Great multitudes gathered to him, so that he entered into a boat, and sat, and all the multitude stood on the beach.
Jus ce a m ce cu aè rla' Antïìyoèk a ba ñgaâa rbyemïì foñ naè, a m koni ñgeâe cicïì ce Pitaè aè m ce geèe naè. Baènabaès ye ye aè m loè a ce geèe njáèá yap ñgeèe anaè.	And the rest of the Jews joined him in his hypocrisy; so that even Barnabas was carried away with their hypocrisy.
E ker bipshi neè woweèe enáê, “AÈ nfeè' máè m fa mntu' bráâd saèamba neè beèe ncúèkïì kyeèe naè, woweèe a m ye, weèe aè kwá' bbábá' aè mñkaâa bsá'?” Woweèe a beesïì enáê, “Weèr aè m kwáè' bbábá' aè mñkaèa saèambaê.”	"When the seven loaves fed the four thousand, how many baskets full of broken pieces did you take up? They told him, ""Seven."""
“AÈde' ñwáè cú' laêm, tár ba mbe dïì' ce beèe a be buu efa ryá káè lor ghee kúpshi aègho ka'. Ñwáè aè ka' cú' laêm, baná e be tár ba mbe tábuèr tá beèe ce a ce niñ mbe ndaèp a bo yá aèmboè ndap ce raa.	"No one, when he has lit a lamp, puts it in a cellar or under a basket, but on a stand, that those who come in may see the light.
Luke	Luêk	11	34	Mo mmir mi yu aèmboè lam wa'a neè yoè nyor. Mo mmir mi ka' ba mmboèñmboñ baná rraa li yu aè yoè nyor wááwá. Geewa'a, mo mmir mi ka' bep baná yoè nyor wááwá yu aè túè'nji.	The lamp of the body is the eye. Therefore when your eye is good, your whole body is also full of light; but when it is evil, your body also is full of darkness.
Luke	Luêk	11	35	Baná weèe lor nfeè' yá weená rraa enjep weèe na li fa ba ba túè'nji ka'.	Therefore see whether the light that is in you isn't darkness.
Luke	Luêk	11	36	Baná rraa li ka' ba aè yoè nyor wááwá, ñgúè' moè' ke' ba aè túè'nji ka', baná rraa anaè li be raa wáè aè nyoèr wááwá aèmboè a ke cúè' lam e raa ñwáè aè nyoèr wááwá naè.”	If therefore your whole body is full of light, having no part dark, it will be wholly full of light, as when the lamp with its bright shining gives you light."
Ñwáè ka' túr ñger aè rcep ntuu Nyúè, ker túr ñger aè rrïìñ buu Nyúè ce vi yu aè bsúèti, ker riñ buu wááwá, ker byemi neè Nyúè btatap seê, ce aède' e laêa, rtuèu li co'tïì embe dïì' li táá, du táá aè dïû' jáá, e ka' tá koèñ beèe ka', baná e ku ba ñwáè cicïì.	If I have the gift of prophecy, and know all mysteries and all knowledge; and if I have all faith, so as to remove mountains, but don't have love, I am nothing.
A ŋkar zhì àmbò e tɛɛ nje waaŋkʉ̀ nà.	That is his friend standing across the river.
Beâe bgoèrgoèr ca, a kwá' mbaèa anaè, a laa enáê, “Ncir yi byemi ená a lá mbaèa ca aè múè mbaèa embe Ndaèp Nyúè ka' njobeè' yu mbaèa bláá.”	"The chief priests took the pieces of silver, and said, ""It's not lawful to put them into the treasury, since it is the price of blood."""
AÈde' m naa tu njobeè' blaâa Nyúè ce m ce feè'shi neè weèe ka' njobeè' Nyúè aè m laèa neè máè ená m fe'shïî. Ndoèo be co' máè ce m ka' tá feè'shi ka'.	For if I preach the Good News, I have nothing to boast about; for necessity is laid on me; but woe is to me, if I don't preach the Good News.
Vi btuè' vi mú'ñgeèr, rlee li ba'ñgeèr ye, e ká' a ce laèa yáánïì.	Immediately his ears were opened, and the impediment of his tongue was released, and he spoke clearly.
Muu à diʼ a zhe njàp wɛɛ.	The child has finally eaten all the soup.
Ñwáè ce e ka' ce koèñ aè rboñshi li ryoèñ baná ñgaèñ be bá li, ñwáè ce e ka' tá boñshi li ryoèñ ka' njo' máè, baná ñgaèñ be koni li.	For whoever wants to save his life will lose it; and whoever will lose his life for my sake and the sake of the Good News will save it.
Woweèe a ka' vúèshi ye wáá, a co' cáâ' beer caè efa yeâ nyoèr, a lor vi bcáè', a kúsi ye aè nyoèr, a lor ye a du aègho aè rtaa mbe kïìntaa.	When they had mocked him, they took the robe off of him, and put his clothes on him, and led him away to crucify him.
M be kuè ce geèe yuu ce m ce geèe seè'ni na, faè dïì' beèe ce a ce koèñ aè ryu' nyor ená lap rfaè' li ku ba aèmboè ler naè a bo túr njïì moè' aè ryu' ka'.	But what I do, that I will do, that I may cut off occasion from them that desire an occasion, that in which they boast, they may be found even as we.
Muu anaè aè ku cañ a kúti, a du a laa neè ñkúú enáê, “M ce koèñ ená aè fa máè tu Joân ñwáè baèptir beèe njep kañ seè'ni.”	"She came in immediately with haste to the king, and asked, ""I want you to give me right now the head of John the Baptizer on a platter."""
Weèr Pol weèe aè ka' maè'shi woweèe, a niñ mbe keñ a du a ba' aè rla' Koês, a táá aè dïì' mo' ka'. Túè' aè ka' raa weèr aè ba' aè rla' Rodoèn, a ka' loâ aèfo, a du a ba' aè rlaè' Pataraè.	When it happened that we had parted from them and had set sail, we came with a straight course to Cos, and the next day to Rhodes, and from there to Patara.
Ñwáè moè' ce e m ce duè aèmbuèu Jisoès aè m ba aè rla' Jopaè. Li rlii li m ba ená Taèbitaè; mbuèu efa rlii anaè aè ba ená Ñgap. E m ce geèe buu bboèñboñ seê, a ba mmbo mtoo.	Now there was at Joppa a certain disciple named Tabitha, which when translated, means Dorcas. This woman was full of good works and acts of mercy which she did.
“Be ba aè nfeè' anaè tá kúú Nyúè yi ba aèmboè nfeè' ce boo mñgoèñgoè mo' beèe nrúú a m loèr wap blaêm, a du aè rkoni nduu-guèu.	"Then the Kingdom of Heaven will be like ten virgins, who took their lamps, and went out to meet the bridegroom.
Matthew	Matïìyoè	25	2	Bee nta efa waâp mú a m ba blúr, beèe nta a túr bfee.	Five of them were foolish, and five were wise.
Matthew	Matïìyoè	25	3	Beèe ce a m ba blúr naè a m loèr blaêm, a lor káèroèsin ka',	Those who were foolish, when they took their lamps, took no oil with them,
Matthew	Matïìyoè	25	4	beèe ce a m rïìñ buu naè a lá káèroèsin aè mú bgaloèn, a túr aègee waêp blaêm.	but the wise took oil in their vessels with their lamps.
Matthew	Matïìyoè	25	5	Nduu-guèu a cu seê, mmirloè mi koo woweèe, woweèe a buumïì.	Now while the bridegroom delayed, they all slumbered and slept.
Matthew	Matïìyoè	25	6	AÈ ka' ba neè ntee-tú', ñwáè aè fuñ, a laa enáê, ‘A nduu-guèu e ce vúè naè, Fúú neè koni ye.’	But at midnight there was a cry, 'Behold! The bridegroom is coming! Come out to meet him!'
Matthew	Matïìyoè	25	7	Boo mñgoèñgoè anaè a lá'seè efa mmirloè, a ko'si waêp blaêm.	Then all those virgins arose, and trimmed their lamps.
Matthew	Matïìyoè	25	8	Beèe ce a m ba blúr naè, a laa neè beèe ce a m túr bfee naè enáê, ‘Fa neè weèr yeè káèroèsin anaè moè' njobeè' weêr blam vi ce liiti.’	The foolish said to the wise, 'Give us some of your oil, for our lamps are going out.'
Matthew	Matïìyoè	25	9	Beèe ce a m túr bfee naè a beesïì enáê, ‘Weèr aè ka' gee wa'a, e ghááteè neè seèe wááwá ka'. Duè neè yá beèe ce a ce fyeèni, yuu yeè.’	But the wise answered, saying, 'What if there isn't enough for us and you? You go rather to those who sell, and buy for yourselves.'
Matthew	Matïìyoè	25	10	Woweèe a ka' duè aè ryuu, nduu-guèu aè ba'sïì, beèe ce a m tami nyor naè a du a nduu-guèu weèe mbe ndaèp aè rye Ñkaâ' bguèu, a cete keèñ.	While they went away to buy, the bridegroom came, and those who were ready went in with him to the marriage feast, and the door was shut.
Matthew	Matïìyoè	25	11	Boo mñgoèñgoè mo' caè a lo a vúê, a laa enáê, ‘Masaè Masaè, múè' keèñ neè weèr.’	Afterward the other virgins also came, saying, 'Lord, Lord, open to us.'
Matthew	Matïìyoè	25	12	E beesïì yi yu enáê, ‘M ce laèa neè weèe neè mini-ñwáè ená m rïìñ weèe ka'.’	But he answered, 'Most certainly I tell you, I don't know you.'
Matthew	Matïìyoè	25	13	Baná weèe fa ce buumi ka' njobeè' weèe rïìñ noèñ káè awaè ka'.	Watch therefore, for you don't know the day nor the hour in which the Son of Man is coming.
Matthew	Matïìyoè	25	14	“Kúú Nyúè yi be ba foñ aèmboè aè nfeè' ce ñwáè moè' aè m ba aè rduè aè mbeè, a ká' yi ñgaâa mfaè', a lá yïì buu neè woweèe.	For it is like a man, going into another country, who called his own servants, and entrusted his goods to them."
Lávïì aè ba muu Simïìyoèn, Simïìyoèn aè ba muu Judaè, Judaè aè ba muu Josáèf, Josáèf aè ba muu Jonaèm, Jonaèm aè ba muu ÁÈliyakïìm,	the son of Simeon, the son of Judah, the son of Joseph, the son of Jonan, the son of Eliakim,
Baná a m maè' mncir ce vi m ba entombïì njobeè' vi m túr ñger aè rjaè' beèe ka'.	For there is an annulling of a foregoing commandment because of its weakness and uselessness
njobeè' Ñwaâ' Nyúè yi laèa enáê, “Abraèham aè m byemi neè Nyúè, Nyúè aè lor ye aè ñwáâ nyáánïì njo' li rbyemïì.”	"For what does the Scripture say? ""Abraham believed God, and it was accounted to him for righteousness."""
Beèe ce a m kúti anaè aè m ba Máèári ce aè rla' Makdalaè, ba Joèanaè, ba Máèári ce e m ba ma yïì Jáêms. Woweèe ba bbyeèñge mo' ce a woweèe a m ba naè a m suñ buu ca neè ñgaâa ntuu anaè.	Now they were Mary Magdalene, Joanna, and Mary the mother of James. The other women with them told these things to the apostles.
Zhi ce yɛti enɛ bèe à duse à mkʉʉ wɛɛwɛ.	It appears that everyone has gone to the farm.
M ce laèa wa'a a ce fa ba rsa' ka'. M ce koèñ ba aè rfeè' le rkoèñnïì aè rkoèñnïì lïû beèe mo', tá m bo yá máná le rkoèñnïì anaè li yu mini lá.	I speak not by way of commandment, but as proving through the earnestness of others the sincerity also of your love.
E m koo ye aè boè, a laa neè ye ená, “Taèlitaè, kumïì,” ce mbuèu efa gho yu enáê, “Muunje, m ce laa neè wáè, loè mbekïì.”	"Taking the child by the hand, he said to her, ""Talitha cumi!"" which means, being interpreted, ""Girl, I tell you, get up!"""
Fa bepsi rfaâ' Nyúè njo' byee ka'. Nyúè aè kani seèe efa rye njáèá byee mo' ka'. Ka' yi yu wa'a, wáè ka' ye yuu ce yi be geèe tá nfúroè gweê, baná wáè geèe yuu bebep.	Don't overthrow God's work for food's sake. All things indeed are clean, however it is evil for that man who creates a stumbling block by eating.
Máè yu' yuu ce weèe ce geèe, a bááñger seê. Nyúè aè m ká' weèe ená weèe ba yïì beèe njo' yuu boèñboñ ce Jisos Kraâis aè m geèe neè weèe. Ka' Nyúè aè m geèe wa'a, weèe aè beesïì njïì neè ye cárcár seê, a ce duè ba aèmbuèu nsuñ moè' ce weèe ce kwaè'shi ená a nsuñ mboèñmboñ.	"I marvel that you are so quickly deserting him who called you in the grace of Christ to a different ""good news"";"
E m ce weèr wa'a tá weèr ce weèr aè m ba beèe entoèmbïì aè rláè mmir mbenduè Jisos Kraâis bo geèe tá beèe a yá yi foèo, ce kuè'si ye.	to the end that we should be to the praise of his glory, we who had before hoped in Christ:
Mmbañruè foñ a ba koèñ wap bbyeèñge aèmboè a koèñ wap mnyor naè. Ñwáè aè ka' koñ ñgwa yïì, baná e koèñ yïì nyor.	Even so husbands also ought to love their own wives as their own bodies. He who loves his own wife loves himself.
Túè' aè ka' raa, woweèe a kútïì yap mbe barakïì, ñgaâa mnyaèabaèraè' a du a Pol weèe.	But on the next day they left the horsemen to go with him, and returned to the barracks.
E yɛ à jaja.	He is seeing without the use of witchcraft.
Yá'ni woweèe njobeè' nfeè' moè' be ba ce beèe a be keèr koèñ aè ryu' ryá'nïì ce li yu mini ka', koèñ ba aè rgeèe buu ce woweèe aè gwáá. Yi ba wa'a tá woweèe a ká' ku' ñgaâa ryá'nïì mo' ená a vú yá'ni woweèe ba buu ce woweèe a koèñ.	For the time will come when they will not listen to the sound doctrine, but, having itching ears, will heap up for themselves teachers after their own lusts;
Dù toŋ ye enɛ e lɛ vʉ̂.	Go and call him to come.
Nyúè aè m laèa neè Fároè mbe yeâ ñwaè' enáê, “Máè ko'si wáè mbe kúú, tá m bo duèñshi ya ñger njïì enjep wáè, tá la rlii li bo yu'ti aè ñgoèñ wááwá.”	"For the Scripture says to Pharaoh, ""For this very purpose I caused you to be raised up, that I might show in you my power, and that my name might be proclaimed in all the earth."""
Máè m ce wáp wáè seê, njobeè' aè yu ñwáâ ntatap. Wáâ ke kep yuu ce wáè m byeè ka', kap yuu ce wáè m ñwañ ka'.’	for I feared you, because you are an exacting man. You take up that which you didn't lay down, and reap that which you didn't sow.'
À be fò ba kɛ enjep rfàʼ anà.	What will you benefit from that job.
Baènabaès ba Sol a ka' mïìsi yuu ce woweèe a m duè aè rgeèe aè rla' Jáèrusaláèm, a kúti. A ka' ce kúti, a lor Joèn Maêk.	Barnabas and Saul returned to Jerusalem, when they had fulfilled their service, also taking with them John whose surname was Mark.
Gheèter gee ñgeâe boèñboñ neè Nyúè tá e bo yu' rboèñ neè wáè. Ba ñwáè rfaè' ce aède' rïìtu yi koo ye ka', ker ba ñwáè ce e be ce yá'ni beèe blaâa mini yáánïì.	Give diligence to present yourself approved by God, a workman who doesn't need to be ashamed, properly handling the Word of Truth.
Laèa buu ca ker yá'ni vi.	Command and teach these things.
AÈ ka' ba njobeè' mncir anaè, yuu bebep yi konïì fáñ a bo' máè, a yú máè.	for sin, finding occasion through the commandment, deceived me, and through it killed me.
E ka' ce loo, njeè aè ka' káè' ce yañ ye, e koñ aè rye yuu. A ka' ce fáèr byee neè ye, e yá njáèá rlo mo'.	He became hungry and desired to eat, but while they were preparing, he fell into a trance.
Rïìñ neè ená yuu ce a súèti, yi be keè yááti aèwañ, tá yuu ce a tá'shi yi yááti aèwañ foñ.	For there is nothing hidden, except that it should be made known; neither was anything made secret, but that it should come to light.
Bèesi cɛ̀ʼ àbʉ̀ʉsi.	Turn the frontal part of the cloth to the front.
“Yu' neè ñgaèa moè'. Ñwáè moè' aè m faè' yi nsuu, a bye njáèá msini ce a ke geèe mruè' aègho mbo, a bee ñka' a sir nsuu anaè aègho, a tuñ dïì' ce a bo geèe mruè' mbo a boo taè'taè' mbo foñ. E ka' geèe wa' wáá, a lá nsuu anaè neè beèe mo', a du aè mbeè.	"Hear another parable. There was a man who was a master of a household, who planted a vineyard, set a hedge about it, dug a winepress in it, built a tower, leased it out to farmers, and went into another country.
Matthew	Matïìyoè	21	34	Nfeè' ce a ke tee msini anaè aè ka' gháá, e tuu yi ñgaâa mfaè' ená a du yá beèe ce e m láè nsuu neè woweèe naè, koo msini mi.	When the season for the fruit drew near, he sent his servants to the farmers, to receive his fruit.
Matthew	Matïìyoè	21	35	Beèe anaè a koo ñgaâa mfaè' anaè a lip moè' a yú moè', a túúshi moè' neè bluèr.	The farmers took his servants, beat one, killed another, and stoned another.
Matthew	Matïìyoè	21	36	E ker tuu ñgaâa mfaè' mo' aèñgoo a caa beèe ce e m tuu entombïì naè, beèe anaè a koo woweèe a ku gee neè woweèe aèmboè a m geèe neè ñgaâa mfaè' ce entombïì naè.	Again, he sent other servants more than the first: and they treated them the same way.
Matthew	Matïìyoè	21	37	E lo a tuu muu yïì aè lúèsimbuèu, a laa enáê, ‘Woweèe a be yu'ni neè muu waè.’	But afterward he sent to them his son, saying, 'They will respect my son.'
Matthew	Matïìyoè	21	38	Beèe anaè a ka' yá muu anaè, a laa a waâp mú enáê, ‘A ñwáè ce e be ye bti' na, vúè neè tá seèe yú ye, ye vi bti' anaè.’	But the farmers, when they saw the son, said among themselves, 'This is the heir. Come, let's kill him, and seize his inheritance.'
Matthew	Matïìyoè	21	39	Woweèe a koo ye, a fúr embe múè nsuu, a yú.	So they took him, and threw him out of the vineyard, and killed him.
Matthew	Matïìyoè	21	40	Baná ñwáè nsuu aè ka' kúti, e gee eká neè beèe ce e m láè nsuu neè woweèe anaè?”	When therefore the lord of the vineyard comes, what will he do to those farmers?"
Yuu ce yi yu aètáèr yu ba yïû fá? Yu ba aè rlaèa ená, ‘Máè foèosi wáè efa yoè buu bbebep’, káè aè rlaèa ená, ‘Loè mbekïì, jáêr’?	For which is easier, to say, 'Your sins are forgiven;' or to say, 'Get up, and walk?'
Mɛ̀ kòŋ ye magòr.	I love him greatly.
Wee weèe rïìñ ená weèe aè ba geèe ba ñgeèe ce weèr aè m ce geèe. Weèr aè m ba a weâe mú a ce koosi bbor ka'.	For you know how you ought to imitate us. For we didn't behave ourselves rebelliously among you,
Njáèá ñgeèe ca yi fa keè ba fa weâe mú ka'. Yi yu ba ená ñwáè efa weâe mú ce e ka' koèñ aè rba ñwáâ ñgoèr, baná ñgaèñ ba ñwáè rfaè' neè weèe,	But it shall not be so among you, but whoever wants to become great among you shall be your servant.
Ŋkàr zhìi e ke gèe ŋgèe yàkì-yàkì sê.	His friend behaves in a very rough manner.
Laèa neè bbyeèñge ce a yu bleebeèe foñ ená woweèe a gee ñgeèe ce yi yu neè ryu'nïì-ñwáè. Woweèe a fa tee mnde' mbe tu beèe mo', káè ba bkwaèa neè mruè' ka'. Woweèe a yá'ni beèe ba buu bboèñboñ,	and that older women likewise be reverent in behavior, not slanderers nor enslaved to much wine, teachers of that which is good;
E m laèa neè woweèe enáê, “AÈde' seèe laa seená kúú Nyúè yi yu aèmboè ká? Yu njáèá ñgaèa ce efá ce aède' seèe ma' ka' riñ aèmboè kúú Nyúè yi yu?	"He said, ""How will we liken the Kingdom of God? Or with what parable will we illustrate it?"
Jisoès aè beesïì a laa enáê, “M be bipshi yuu mo' neè weèe foñ.	"He answered them, ""I also will ask you one question. Tell me:"
Jisoès aè laa neè woweèe enáê, “Weèe fa wáp ka'. Duè neè suñ bfúr wa ená woweèe a du aè ñgoâñ Galeèleê. Woweèe a be baè' aèfo, yá máè.”	"Then Jesus said to them, ""Don't be afraid. Go tell my brothers that they should go into Galilee, and there they will see me."""
E jèʼsi mɛ̀ nè bôr.	He has dribbled me with the ball.
Túè' moè' aè ka' keèr raa, woweèe a ba' aè rla' Sisaèriyaè. Koèniyuès aè m cu a ce keè' woweèe, a ká'shi beèe ce a woweèe a m raète, ba bkar vi vi mntee, woweèe a vú mbe yeâ ndaèp.	On the next day they entered into Caesarea. Cornelius was waiting for them, having called together his relatives and his near friends.
Ñwáè anaè aè beesïì neè ye enáê, “Masaè, e ke ba aè nfeè' ce túè aè bañti m túr ñwáè ce e lor máè duè aègho njo ka'. Má loâ gheèter aè nfeè' anaè ená m du njo, ñwáè moè' ku du entombïì neè máè.”	"The sick man answered him, ""Sir, I have no one to put me into the pool when the water is stirred up, but while I'm coming, another steps down before me."""
Wáè m geèe yi nta' yi sáteè embe nta' bcïìndap Nyúè aè mú nfeè' moè', mú nfeè' anaè aè ka' caèa, wáè fa ye nta' kúú ba ryu'nïì,	You made him a little lower than the angels. You crowned him with glory and honor.
Geewa'a Jisoès aè m ce laèa aèmboè Ndap Nyúè ca, a ce laèa ba aèmboè yïì nyor.	But he spoke of the temple of his body.
Judaè aè m bi Páráès ba Saráè ce yaèp ma aè m ba Tamaèr. Páráès aè bi Ásiroèm, Ásiroèm aè bi Raêm.	Judah became the father of Perez and Zerah by Tamar. Perez became the father of Hezron. Hezron became the father of Ram.
M ce suñ weèe máná, e be sa' wap mnsa' tá vi ba yáánïì aè mbeèp yaèp, sa' vi cárcár seê. Ka' yi yu wa'a, waè' Muu Ñwáè be keè vúè, tá e yá beèe enjep ñgoèñ ce a byemi, aèmboè a táá tatap a?”	"I tell you that he will avenge them quickly. Nevertheless, when the Son of Man comes, will he find faith on the earth?"""
Njàp ca yu còŋri.	This soup has no salt or pepper.
Nfeè' aè gháá ce Nyúè be sa' ñgoèñ ca. Nfeè' aè gháá ce a be so ñkúú enjep ñgoèñ ca.	Now is the judgment of this world. Now the prince of this world will be cast out.
Geewa'a, weèr rïìñ faèdïì' ce ñwáè ca ce vúè, a riñ ená be ba aè nfeè' ce Kraâis anaè aè nyáá, tá ñwáè riñ faèdïì' e loè ka'.”	"However we know where this man comes from, but when the Christ comes, no one will know where he comes from."""
Noâñ Ñkaâ' Pántikoès yi ka' gháá, woweèe wááwá a ba aèbee mbe dïû' moè'sir.	Now when the day of Pentecost had come, they were all with one accord in one place.
Tata aè beesïì enáê, “Baná ñwáè rfaè' ce e yu ñwáâ mini a ker riñ buu foñ seê, yu nda? Yu ñwáè ce yïì masaè aè láè yïì ndap ená e ce fyá', ce fa byee neè yi ñgaâa mfaè' njep nfeè'.	"The Lord said, ""Who then is the faithful and wise steward, whom his lord will set over his household, to give them their portion of food at the right times?"
Weèr ce yá ñgá' ca tá weèe bo koni sá' efa gho, tá beèe magoèr a koni rboèñ Nyúè, ce kuè'si ye goèr. Yi ka' ba wa'a, beèe magoèr a násïì ye.	For all things are for your sakes, that the grace, being multiplied through the many, may cause the thanksgiving to abound to the glory of God.
Beèe Farïìsi ba Jus wááwá a ka' tá suè'si mmbo aèmboè ndeèe waêp bta aè m ba ka', a ye yuu ka'.	(For the Pharisees, and all the Jews, don't eat unless they wash their hands and forearms, holding to the tradition of the elders.
Nàʼ yàa à gwè.	My cow has fallen.
Weèe rïìñ ená Kraâis aè m vúè aè rcaè'si buu bbebep. Yuu bebep yi yu njep yeâ ntee ka'.	You know that he was revealed to take away our sins, and in him is no sin.
a no mdip ce mi m fúú ba enje ryáá. Ryáá anaè aè m ba Jisos Kraâis ce e m ce jáèr a woweèe.	and all drank the same spiritual drink. For they drank of a spiritual rock that followed them, and the rock was Christ.
E ba kani a kʉti a byemi.	He refused and finally accepted.
A sañ mbe ye ñwaè' mncir enáê, ‘beèe a mmbaa a ka' táá njïìnsa' aè yuu baná yuu anaè yi yu mini.’	It's also written in your law that the testimony of two people is valid.
Fa maè'shi tá woweèe a ker du aèmbuèu mghaèghar Juês, káè keèr yu'ni neè rsa' ce beèe ce a kani yuu mini a fa naè ka'.	not paying attention to Jewish fables and commandments of men who turn away from the truth.
Pailáèt aè ka' yu' blaèa ca, a koñ ená e ba maè'shi Jisoès tá e duê. Yi ka' ba wa'a, Jus a ce waani enáê, “Wáè ka' ma'shi ñwáè ca e duê, baná aè yu ñkar Sisaè ka'. è ka'. Ñwáè aè ka' lor yïì nyor aè ñkúú baná ñgaèñ aè tár Sisaè mkuèu mbe tuè.”	"At this, Pilate was seeking to release him, but the Jews cried out, saying, ""If you release this man, you aren't Caesar's friend! Everyone who makes himself a king speaks against Caesar!"""
Nduunjì ca zhi lɛʼ, a du mbà Mòo.	This road has branched to Moo.
Máè yá bcïìndap Nyúè saèamba ce a ke táá kuèntombïì neè Nyúè. A m fa woweèe msoèñ saèambaê.	I saw the seven angels who stand before God, and seven trumpets were given to them.
Jus a ker ba jáá efa beèe enje jáá ka'. Kraâis yu Tata neè woweèe wááwá. E ke ghoèni ñwáè wááwá ce e ka' war neè ye.	For there is no distinction between Jew and Greek; for the same Lord is Lord of all, and is rich to all who call on him.
Bfee vi Nyúè vi yu jáá. E m geèe ená beèe a riñ ye ba neè bfee wap ka'. E m koèñ ená e gee beèe ce a byemi neè ye a luñ njïì enjep rfeè'shïì ce beèe a loèr aè yuu cicïì naè.	For seeing that in the wisdom of God, the world through its wisdom didn't know God, it was God's good pleasure through the foolishness of the preaching to save those who believe.
M ce suñ weèe máná ñgaèñ aè ka' tá naèti mbekïì fa neè ye njobeè' e yu ñkar yïì ka', baná e be naèti mbekïì fa ye yuu wááwá ce e ce roèo njobeè' e laèa a tambú.	I tell you, although he will not rise and give it to him because he is his friend, yet because of his persistence, he will get up and give him as many as he needs.
Baná ñwáè ce e ka' tee tu neè beèe ce a ce sa' beèe, baná ñgaèñ aè teèe tu neè yuu ce Nyúè aè geèe. Beèe ce a ka' gee wa'a, baná woweèe a ce ká' ñgá' mbe waâp btuè.	Therefore he who resists the authority, withstands the ordinance of God; and those who withstand will receive to themselves judgment.
Beèe magoèr a loèr nfeè' a sañ buu ce vi m koni a seâe mú.	Since many have undertaken to set in order a narrative concerning those matters which have been fulfilled among us,
Bkar waê, weèe fa leèse ená noâñ mo'sir yi yu aè bsii Nyúè aèmboè bfeè' ncúèkïì, bfeè' ncúèkïì vi ba aèmboè noâñ mo'sir ka'.	But don't forget this one thing, beloved, that one day is with the Lord as a thousand years, and a thousand years as one day.
Beèe mo' efa weâr mú a vúâ aè ñgoâñ Kreêt, ba aè ñgoâñ AÈrábïìyaè. Woweèe a ce suñ njáèá buu bbáèá ce Nyúè aè geèe seèe aè ce yu' aè viseèe bli wááwá.”	"Cretans and Arabians: we hear them speaking in our languages the mighty works of God!"""
Muu Háèrodïìyaè ce njeñwáè aè m vúè a bii bii, nyoèr aè boñ Hároèd ba beèe ce a m vúè ñkaè'. Awá Hároèd aè laèa neè muu ana enáê, “Wáè ka' bipshi ka' njáèá ká ce wáè koèñ, m ku fa neè wáè.”	"When the daughter of Herodias herself came in and danced, she pleased Herod and those sitting with him. The king said to the young lady, ""Ask me whatever you want, and I will give it to you."""
Nyúè aè m duèñshi máè buu ce aède' ñwáè aè m ba riñ ka', máè riñ vi. Máè sañ a suñ weèe mú mmo' efa gho.	how that by revelation the mystery was made known to me, as I wrote before in few words,
Pol aè du a ba' aè rla' Dábeè, a du aè rla' Listraè. Ñwáè yá'ni buu Jisos moè' aè m ba aèfo, a too ye ená Timotïì. Yïì ma aè m ba ñwáè Jus ce e m ba ñwáè rbyemïì, yïì ta aè ba yi ñwáè Greês.	He came to Derbe and Lystra: and behold, a certain disciple was there, named Timothy, the son of a Jewess who believed; but his father was a Greek.
Weèe ce weâe koèñ ená weèe ba njeptii mncir, waè' weèe ce yu' yuu ce mncir vi ce laèa a?	Tell me, you that desire to be under the law, don't you listen to the law?
Yïì ma aè laa neè ñgaâa mfaè' enáê, “Geèe neè yuu ce e ka' suñ weèe ená weèe geêe.”	"His mother said to the servants, ""Whatever he says to you, do it."""
Map mmir mi mú'ñgeèr, woweèe a riñ ye. A ka' rïìñ ye wa'a, e bú, woweèe a ker yá ye ka'.	Their eyes were opened, and they recognized him, and he vanished out of their sight.
E m fa buu neè ñwáè aèmboè ñger ñgaèñ yi m ba. E m fa moè' ncúèkïì taê, a fa moè' ncúèkïì baa, a fa moè' ncúèkïì moè'sir. E ka' fa, a du aè mbeè.	To one he gave five talents, to another two, to another one; to each according to his own ability. Then he went on his journey.
E lùusi sìi baa.	He has heat up cold fufu.
